sequence,change_type,difficulty,reference_image,target_image,homography
i_nescafe,illumination,3,i_nescafe/1.ppm,i_nescafe/4.ppm,i_nescafe/H_1_4
i_nescafe,illumination,4,i_nescafe/1.ppm,i_nescafe/5.ppm,i_nescafe/H_1_5
i_nescafe,illumination,5,i_nescafe/1.ppm,i_nescafe/6.ppm,i_nescafe/H_1_6
i_nijmegen,illumination,1,i_nijmegen/1.ppm,i_nijmegen/2.ppm,i_nijmegen/H_1_2
i_nijmegen,illumination,2,i_nijmegen/1.ppm,i_nijmegen/3.ppm,i_nijmegen/H_1_3
i_nijmegen,illumination,3,i_nijmegen/1.ppm,i_nijmegen/4.ppm,i_nijmegen/H_1_4
i_nijmegen,illumination,4,i_nijmegen/1.ppm,i_nijmegen/5.ppm,i_nijmegen/H_1_5
i_nijmegen,illumination,5,i_nijmegen/1.ppm,i_nijmegen/6.ppm,i_nijmegen/H_1_6
i_nuts,illumination,1,i_nuts/1.ppm,i_nuts/2.ppm,i_nuts/H_1_2
i_nuts,illumination,2,i_nuts/1.ppm,i_nuts/3.ppm,i_nuts/H_1_3
i_nuts,illumination,3,i_nuts/1.ppm,i_nuts/4.ppm,i_nuts/H_1_4
i_nuts,illumination,4,i_nuts/1.ppm,i_nuts/5.ppm,i_nuts/H_1_5
i_nuts,illumination,5,i_nuts/1.ppm,i_nuts/6.ppm,i_nuts/H_1_6
i_objects,illumination,1,i_objects/1.ppm,i_objects/2.ppm,i_objects/H_1_2
i_objects,illumination,2,i_objects/1.ppm,i_objects/3.ppm,i_objects/H_1_3
i_objects,illumination,3,i_objects/1.ppm,i_objects/4.ppm,i_objects/H_1_4
i_objects,illumination,4,i_objects/1.ppm,i_objects/5.ppm,i_objects/H_1_5
i_objects,illumination,5,i_objects/1.ppm,i_objects/6.ppm,i_objects/H_1_6
i_parking,illumination,1,i_parking/1.ppm,i_parking/2.ppm,i_parking/H_1_2
i_parking,illumination,2,i_parking/1.ppm,i_parking/3.ppm,i_parking/H_1_3
i_parking,illumination,3,i_parking/1.ppm,i_parking/4.ppm,i_parking/H_1_4
i_parking,illumination,4,i_parking/1.ppm,i_parking/5.ppm,i_parking/H_1_5
i_parking,illumination,5,i_parking/1.ppm,i_parking/6.ppm,i_parking/H_1_6
i_partyfood,illumination,1,i_partyfood/1.ppm,i_partyfood/2.ppm,i_partyfood/H_1_2
i_partyfood,illumination,2,i_partyfood/1.ppm,i_partyfood/3.ppm,i_partyfood/H_1_3
i_partyfood,illumination,3,i_partyfood/1.ppm,i_partyfood/4.ppm,i_partyfood/H_1_4
i_partyfood,illumination,4,i_partyfood/1.ppm,i_partyfood/5.ppm,i_partyfood/H_1_5
i_partyfood,illumination,5,i_partyfood/1.ppm,i_partyfood/6.ppm,i_partyfood/H_1_6
i_pencils,illumination,1,i_pencils/1.ppm,i_pencils/2.ppm,i_pencils/H_1_2
i_pencils,illumination,2,i_pencils/1.ppm,i_pencils/3.ppm,i_pencils/H_1_3
i_pencils,illumination,3,i_pencils/1.ppm,i_pencils/4.ppm,i_pencils/H_1_4
i_pencils,illumination,4,i_pencils/1.ppm,i_pencils/5.ppm,i_pencils/H_1_5
i_pencils,illumination,5,i_pencils/1.ppm,i_pencils/6.ppm,i_pencils/H_1_6
i_pinard,illumination,1,i_pinard/1.ppm,i_pinard/2.ppm,i_pinard/H_1_2
i_pinard,illumination,2,i_pinard/1.ppm,i_pinard/3.ppm,i_pinard/H_1_3
i_pinard,illumination,3,i_pinard/1.ppm,i_pinard/4.ppm,i_pinard/H_1_4
i_pinard,illumination,4,i_pinard/1.ppm,i_pinard/5.ppm,i_pinard/H_1_5
i_pinard,illumination,5,i_pinard/1.ppm,i_pinard/6.ppm,i_pinard/H_1_6
i_pool,illumination,1,i_pool/1.ppm,i_pool/2.ppm,i_pool/H_1_2
i_pool,illumination,2,i_pool/1.ppm,i_pool/3.ppm,i_pool/H_1_3
i_pool,illumination,3,i_pool/1.ppm,i_pool/4.ppm,i_pool/H_1_4
i_pool,illumination,4,i_pool/1.ppm,i_pool/5.ppm,i_pool/H_1_5
i_pool,illumination,5,i_pool/1.ppm,i_pool/6.ppm,i_pool/H_1_6
i_porta,illumination,1,i_porta/1.ppm,i_porta/2.ppm,i_porta/H_1_2
i_porta,illumination,2,i_porta/1.ppm,i_porta/3.ppm,i_porta/H_1_3
i_porta,illumination,3,i_porta/1.ppm,i_porta/4.ppm,i_porta/H_1_4
i_porta,illumination,4,i_porta/1.ppm,i_porta/5.ppm,i_porta/H_1_5
i_porta,illumination,5,i_porta/1.ppm,i_porta/6.ppm,i_porta/H_1_6
i_resort,illumination,1,i_resort/1.ppm,i_resort/2.ppm,i_resort/H_1_2
i_resort,illumination,2,i_resort/1.ppm,i_resort/3.ppm,i_resort/H_1_3
i_resort,illumination,3,i_resort/1.ppm,i_resort/4.ppm,i_resort/H_1_4
i_resort,illumination,4,i_resort/1.ppm,i_resort/5.ppm,i_resort/H_1_5
i_resort,illumination,5,i_resort/1.ppm,i_resort/6.ppm,i_resort/H_1_6
i_salon,illumination,1,i_salon/1.ppm,i_salon/2.ppm,i_salon/H_1_2
i_salon,illumination,2,i_salon/1.ppm,i_salon/3.ppm,i_salon/H_1_3
i_salon,illumination,3,i_salon/1.ppm,i_salon/4.ppm,i_salon/H_1_4
i_salon,illumination,4,i_salon/1.ppm,i_salon/5.ppm,i_salon/H_1_5
i_salon,illumination,5,i_salon/1.ppm,i_salon/6.ppm,i_salon/H_1_6
i_santuario,illumination,1,i_santuario/1.ppm,i_santuario/2.ppm,i_santuario/H_1_2
i_santuario,illumination,2,i_santuario/1.ppm,i_santuario/3.ppm,i_santuario/H_1_3
i_santuario,illumination,3,i_santuario/1.ppm,i_santuario/4.ppm,i_santuario/H_1_4
i_santuario,illumination,4,i_santuario/1.ppm,i_santuario/5.ppm,i_santuario/H_1_5
i_santuario,illumination,5,i_santuario/1.ppm,i_santuario/6.ppm,i_santuario/H_1_6
i_school,illumination,1,i_school/1.ppm,i_school/2.ppm,i_school/H_1_2
i_school,illumination,2,i_school/1.ppm,i_school/3.ppm,i_school/H_1_3
i_school,illumination,3,i_school/1.ppm,i_school/4.ppm,i_school/H_1_4
i_school,illumination,4,i_school/1.ppm,i_school/5.ppm,i_school/H_1_5
i_school,illumination,5,i_school/1.ppm,i_school/6.ppm,i_school/H_1_6
i_ski,illumination,1,i_ski/1.ppm,i_ski/2.ppm,i_ski/H_1_2
i_ski,illumination,2,i_ski/1.ppm,i_ski/3.ppm,i_ski/H_1_3
i_ski,illumination,3,i_ski/1.ppm,i_ski/4.ppm,i_ski/H_1_4
i_ski,illumination,4,i_ski/1.ppm,i_ski/5.ppm,i_ski/H_1_5
i_ski,illumination,5,i_ski/1.ppm,i_ski/6.ppm,i_ski/H_1_6
i_smurf,illumination,1,i_smurf/1.ppm,i_smurf/2.ppm,i_smurf/H_1_2
i_smurf,illumination,2,i_smurf/1.ppm,i_smurf/3.ppm,i_smurf/H_1_3
i_smurf,illumination,3,i_smurf/1.ppm,i_smurf/4.ppm,i_smurf/H_1_4
i_smurf,illumination,4,i_smurf/1.ppm,i_smurf/5.ppm,i_smurf/H_1_5
i_smurf,illumination,5,i_smurf/1.ppm,i_smurf/6.ppm,i_smurf/H_1_6
i_steps,illumination,1,i_steps/1.ppm,i_steps/2.ppm,i_steps/H_1_2
i_steps,illumination,2,i_steps/1.ppm,i_steps/3.ppm,i_steps/H_1_3
i_steps,illumination,3,i_steps/1.ppm,i_steps/4.ppm,i_steps/H_1_4
i_steps,illumination,4,i_steps/1.ppm,i_steps/5.ppm,i_steps/H_1_5
i_steps,illumination,5,i_steps/1.ppm,i_steps/6.ppm,i_steps/H_1_6
i_table,illumination,1,i_table/1.ppm,i_table/2.ppm,i_table/H_1_2
i_table,illumination,2,i_table/1.ppm,i_table/3.ppm,i_table/H_1_3
i_table,illumination,3,i_table/1.ppm,i_table/4.ppm,i_table/H_1_4
i_table,illumination,4,i_table/1.ppm,i_table/5.ppm,i_table/H_1_5
i_table,illumination,5,i_table/1.ppm,i_table/6.ppm,i_table/H_1_6
i_tools,illumination,1,i_tools/1.ppm,i_tools/2.ppm,i_tools/H_1_2
i_tools,illumination,2,i_tools/1.ppm,i_tools/3.ppm,i_tools/H_1_3
i_tools,illumination,3,i_tools/1.ppm,i_tools/4.ppm,i_tools/H_1_4
i_tools,illumination,4,i_tools/1.ppm,i_tools/5.ppm,i_tools/H_1_5
i_tools,illumination,5,i_tools/1.ppm,i_tools/6.ppm,i_tools/H_1_6
i_toy,illumination,1,i_toy/1.ppm,i_toy/2.ppm,i_toy/H_1_2
i_toy,illumination,2,i_toy/1.ppm,i_toy/3.ppm,i_toy/H_1_3
i_toy,illumination,3,i_toy/1.ppm,i_toy/4.ppm,i_toy/H_1_4
i_toy,illumination,4,i_toy/1.ppm,i_toy/5.ppm,i_toy/H_1_5
i_toy,illumination,5,i_toy/1.ppm,i_toy/6.ppm,i_toy/H_1_6
i_troulos,illumination,1,i_troulos/1.ppm,i_troulos/2.ppm,i_troulos/H_1_2
i_troulos,illumination,2,i_troulos/1.ppm,i_troulos/3.ppm,i_troulos/H_1_3
i_troulos,illumination,3,i_troulos/1.ppm,i_troulos/4.ppm,i_troulos/H_1_4
i_troulos,illumination,4,i_troulos/1.ppm,i_troulos/5.ppm,i_troulos/H_1_5
i_troulos,illumination,5,i_troulos/1.ppm,i_troulos/6.ppm,i_troulos/H_1_6
i_veggies,illumination,1,i_veggies/1.ppm,i_veggies/2.ppm,i_veggies/H_1_2
i_veggies,illumination,2,i_veggies/1.ppm,i_veggies/3.ppm,i_veggies/H_1_3
i_veggies,illumination,3,i_veggies/1.ppm,i_veggies/4.ppm,i_veggies/H_1_4
i_veggies,illumination,4,i_veggies/1.ppm,i_veggies/5.ppm,i_veggies/H_1_5
i_veggies,illumination,5,i_veggies/1.ppm,i_veggies/6.ppm,i_veggies/H_1_6
i_village,illumination,1,i_village/1.ppm,i_village/2.ppm,i_village/H_1_2
i_village,illumination,2,i_village/1.ppm,i_village/3.ppm,i_village/H_1_3
i_village,illumination,3,i_village/1.ppm,i_village/4.ppm,i_village/H_1_4
i_village,illumination,4,i_village/1.ppm,i_village/5.ppm,i_village/H_1_5
i_village,illumination,5,i_village/1.ppm,i_village/6.ppm,i_village/H_1_6
i_whitebuilding,illumination,1,i_whitebuilding/1.ppm,i_whitebuilding/2.ppm,i_whitebuilding/H_1_2
i_whitebuilding,illumination,2,i_whitebuilding/1.ppm,i_whitebuilding/3.ppm,i_whitebuilding/H_1_3
i_whitebuilding,illumination,3,i_whitebuilding/1.ppm,i_whitebuilding/4.ppm,i_whitebuilding/H_1_4
i_whitebuilding,illumination,4,i_whitebuilding/1.ppm,i_whitebuilding/5.ppm,i_whitebuilding/H_1_5
i_whitebuilding,illumination,5,i_whitebuilding/1.ppm,i_whitebuilding/6.ppm,i_whitebuilding/H_1_6
i_yellowtent,illumination,1,i_yellowtent/1.ppm,i_yellowtent/2.ppm,i_yellowtent/H_1_2
i_yellowtent,illumination,2,i_yellowtent/1.ppm,i_yellowtent/3.ppm,i_yellowtent/H_1_3
i_yellowtent,illumination,3,i_yellowtent/1.ppm,i_yellowtent/4.ppm,i_yellowtent/H_1_4
i_yellowtent,illumination,4,i_yellowtent/1.ppm,i_yellowtent/5.ppm,i_yellowtent/H_1_5
i_yellowtent,illumination,5,i_yellowtent/1.ppm,i_yellowtent/6.ppm,i_yellowtent/H_1_6
i_zion,illumination,1,i_zion/1.ppm,i_zion/2.ppm,i_zion/H_1_2
i_zion,illumination,2,i_zion/1.ppm,i_zion/3.ppm,i_zion/H_1_3
i_zion,illumination,3,i_zion/1.ppm,i_zion/4.ppm,i_zion/H_1_4
i_zion,illumination,4,i_zion/1.ppm,i_zion/5.ppm,i_zion/H_1_5
i_zion,illumination,5,i_zion/1.ppm,i_zion/6.ppm,i_zion/H_1_6
v_abstract,viewpoint,1,v_abstract/1.ppm,v_abstract/2.ppm,v_abstract/H_1_2
v_abstract,viewpoint,2,v_abstract/1.ppm,v_abstract/3.ppm,v_abstract/H_1_3
v_abstract,viewpoint,3,v_abstract/1.ppm,v_abstract/4.ppm,v_abstract/H_1_4
v_abstract,viewpoint,4,v_abstract/1.ppm,v_abstract/5.ppm,v_abstract/H_1_5
v_abstract,viewpoint,5,v_abstract/1.ppm,v_abstract/6.ppm,v_abstract/H_1_6
